
Advertiser deteles Proximity ,"The Advertiser deletes a Proximity by selecting the specific proximity they wish to remove within the platform. This involves choosing the delete option for the selected proximity, which permanently removes the targeted locations and settings associated with it. Once deleted, the proximity can no longer be used for future campaigns, and any previously targeted ads related to that proximity will be unaffected but no longer have the proximity-specific targeting. The deletion is final unless a new proximity is created."
Advertiser adds a new User added (Admin),"The Advertiser adds a new User (Admin) by selecting the option to create a new user within the platform. This involves filling in key details for the new user, such as their name, email address, and assigning them an Admin role. As an Admin, the new user will have full access to all features of the platform, including campaign management, user permissions, and data analysis. Once the user details are entered, the Advertiser saves the new user information, and an invitation is sent to the new Admin to activate their account and gain access to the platform."
Advertiser adds a new User added (Accountant),"The Advertiser adds a new User (Accountant) by selecting the option to create a new user within the platform. This involves entering key details such as the user’s name, email address, and assigning them the Accountant role. As an Accountant, the new user will have limited access, specifically to the 'Campaigns,' and the 'Revenue Section'. The Accountant user can view and analyze campaign performance, monitor revenue-related data, and access brand-related information, but will not have permission to modify or access other parts of the platform. Once the details are entered, the Advertiser saves the new user information, and an invitation is sent to the Accountant to activate their account and access the specified sections."
Advertiser adds a new User added (Brand Manager),"The Advertiser adds a new User (Brand Manager) by selecting the option to create a new user within the platform. This involves entering key details such as the user’s name, email address, and assigning them the Brand Manager role. The Brand Manager can be associated with one or multiple brands, depending on the Advertiser’s selection. The Brand Manager’s access is restricted to specific sections of the platform: they cannot perform CRUD (Create, Read, Update, Delete) operations on brands and campaigns that they are assigned to. They do not have access to manage revenue data, user accounts, user activity, or other restricted areas. Once the details are entered and the brands are assigned, the Advertiser saves the new user information, and an invitation is sent to the Brand Manager to activate their account and access the relevant brands and campaigns."
Advertiser adds a new User added (View Only),"The Advertiser adds a new User (View Only) by selecting the option to create a new user within the platform. This involves entering key details such as the user’s name, email address, and assigning them the 'View Only' role. A 'View Only' user has read-only access to the platform, meaning they can view data and reports related to campaigns, brands, and performance metrics but cannot make any edits, create new campaigns, or perform any CRUD (Create, Read, Update, Delete) operations. This role is typically used for stakeholders who need to monitor performance without modifying any data. Once the details are entered, the Advertiser saves the new user information, and an invitation is sent to the View Only user to activate their account and access the specified data."
Advertiser edits a User,"The Advertiser edits a User by selecting the specific user they wish to modify within the platform. This involves accessing the user's profile and updating key details such as their name, email address, role (e.g., Admin, Brand Manager, Accountant), and associated permissions. The Advertiser may also adjust the user's assigned brands or campaigns, depending on the role and access needed. Once the changes are made, the Advertiser saves the updated user information, which immediately updates the user’s access and settings within the platform."
Advertiser deletes a User,"The Advertiser deletes a User by selecting the specific user they wish to remove within the platform. This involves accessing the user's profile and selecting the delete option. Once the user is deleted, they will no longer have access to the platform, and any permissions associated with their account will be revoked. The Advertiser may be prompted to confirm the deletion, ensuring that the action is intentional. Once deleted, the user’s account and all associated data will be permanently removed from the system. This action cannot be undone unless the user is re-invited and re-created in the system."
Advertiser downloads csv for User Activity table ,"The Advertiser downloads a CSV file for the 'User Activity' table by simply downloading the file using option within the platform. This action retrieves all relevant data related to user activities, such as logins, actions performed, campaign interactions, and any changes made by users within the platform. The CSV file includes timestamps, user identifiers, and specific actions taken by each user. Once the CSV file is generated, the Advertiser can download it to their device and open it in spreadsheet software like Excel or Google Sheets for further analysis, reporting, or record-keeping."
Advertiser add a new my publisher,"he Advertiser adds a new 'My Publisher' by initiating the process within the platform. First, the Advertiser generates a unique code that is provided to the publisher. The publisher then uses this unique code to add the advertiser in their network of 'My Advertisers', creating a connection between the Advertiser and the Publisher. This establishes a handshake, confirming the partnership. Once the handshake is successful, the publisher is added to the Advertiser's network.
As a result, the Advertiser gains access to the publisher's entire inventory, which can be used for future campaigns. The Advertiser can then choose to run a verification campaign (free of charge) or a paid campaign with the publisher. The inventory provided by the publisher becomes available for use, allowing the Advertiser to select relevant ad placements, define targeting criteria, and set campaign parameters. The entire process ensures a seamless partnership, allowing for better campaign management and collaboration with the publisher"
Advertiser add a new my publisher using publisher unique code,"The Advertiser adds a new 'My Publisher' by generating and providing a unique code to the publisher. The publisher uses this unique code to register and link their account with the advertiser’s network. Once the publisher enters the code, a handshake is established between the advertiser and the publisher, confirming the partnership. After the handshake is successful, the publisher is added to the Advertiser’s network. This grants the Advertiser access to the publisher’s entire inventory for use in campaigns. The Advertiser can then run verification campaigns (free of charge) or paid campaigns using the publisher's inventory. The process ensures seamless integration and access to ad placements, targeting options, and campaign setup with the publisher."
Advertiser add a new my publisher,"The Advertiser approves a new 'My Publisher' by reviewing the publisher's details after they have registered and completed the handshake process using the unique code. Once the publisher is added to the advertiser's network, the Advertiser is prompted to review the publisher's profile, inventory, and other relevant details. After evaluating the publisher’s information, the Advertiser can approve the publisher for inclusion in their network. Upon approval, the publisher becomes fully integrated into the Advertiser’s network, granting the Advertiser access to the publisher’s entire inventory for campaign use. This allows the Advertiser to start utilizing the publisher’s inventory for verification campaigns (free of charge) or paid campaigns, with the ability to define targeting and ad placement strategies"
Advertiser rejects a new My Publisher,"The Advertiser rejects a new 'My Publisher' by reviewing the publisher’s details after they have registered and completed the handshake process using the unique code. If the Advertiser determines that the publisher’s profile, inventory, or other relevant details do not meet the necessary criteria or expectations, they can choose to reject the publisher. Once the rejection is made, the publisher will not be added to the Advertiser’s network, and they will no longer have access to the publisher’s inventory for campaign use. The publisher will be notified of the rejection, and the Advertiser can choose to provide feedback or reasons for the decision if needed."

what is a campaign: ,"A Campaign is created by an Advertiser within the platform to achieve specific marketing objectives, such as driving brand awareness, increasing engagement, or generating conversions. The Advertiser can add a campaign and customize its settings, including selecting targeting options such as multiple locations, screens, age groups, proximities, and more. This allows the Advertiser to precisely define where, when, and to whom the campaign will be shown. Once the campaign is set up with the relevant details and creatives, it is sent for approval, and upon approval, it becomes active for execution."
what is a creative: ,"A Creative is the actual ad content used in a campaign, designed to engage the target audience and achieve the campaign’s objectives. Creatives can include various types of media such as images, videos. The Advertiser can upload and customize creatives for the campaign, and these will be displayed across selected advertising channels (e.g. digital billboards). Creatives are typically aligned with the campaign’s goals, whether it’s increasing brand awareness, driving conversions, or generating user engagement. Each creative can be tailored to specific targeting parameters, such as age group, location, or device type, ensuring it reaches the right audience at the right time."
what is a brand: ,"A Brand is a unique identity created by an Advertiser or business to represent their products, services, or company in the market. In the advertising platform, the Advertiser can add a brand, which becomes a key part of their campaign strategy. Once a brand is created, it allows the Advertiser to manage campaigns, creatives, and other promotional activities under that specific brand identity. A brand also helps to ensure consistency across marketing efforts and enables the Advertiser to track performance and reach specific target audiences."
what is a publisher:,"A Publisher is an entity or platform that owns and manages advertising space or inventory, where Advertisers can display their ads. Publishers provide ad placements on various digital or physical properties such as digital signage, and physical screens (e.g., billboards). In the advertising ecosystem, a Publisher allows Advertisers to access their inventory to reach a specific audience. Once a Publisher is added to the Advertiser’s network, the Advertiser can use the Publisher's inventory to run campaigns, targeting selected locations, screens, or other parameters. Publishers often monetize their platforms by selling ad space to Advertisers, either through direct deals or programmatic advertising."
